Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_St,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,APC_Cd,APC_Desc,Bene_Cnt,CAPC_Srvcs,Avg_Tot_Sbmtd_Chrgs,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Outlier_Srvcs,Avg_Mdcr_Outlier_Amt
10001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,1,36301,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5072,Level 2 Excision/ Biopsy/ Incision and Drainage,151.0,161.0,9496.27981366457,1323.42192546584,1047.59285714286,0.0,0.0
10001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,1,36301,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5073,Level 3 Excision/ Biopsy/ Incision and Drainage,49.0,56.0,17956.9551785714,2261.11125,1789.10124999999,0.0,0.0
10001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,1,36301,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5091,Level 1 Breast/Lymphatic Surgery and Related Procedures,26.0,28.0,25027.7382142856,3002.57821428571,2374.42821428571,0.0,0.0
10001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,1,36301,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5092,Level 2 Breast/Lymphatic Surgery and Related Procedures,26.0,26.0,37572.5396153846,5342.78999999999,4256.86,0.0,0.0
10001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,1,36301,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5112,Level 2 Musculoskeletal Procedures,,,,,,,
10001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,1,36301,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5113,Level 3 Musculoskeletal Procedures,19.0,19.0,34571.1436842104,2675.97,2132.07,0.0,0.0
10001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,1,36301,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5114,Level 4 Musculoskeletal Procedures,70.0,71.0,53559.8204225353,5879.81225352112,4666.08929577464,0.0,0.0
10001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,1,36301,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5115,Level 5 Musculoskeletal Procedures,36.0,36.0,81548.1025,11225.3494444444,9625.34944444445,0.0,0.0
10001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,1,36301,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5116,Level 6 Musculoskeletal Procedures,,,,,,,
10001,Southeast Health Medical Center,1108 Ross Clark Circle,Dothan,AL,1,36301,2.0,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5153,Level 3 Airway Endoscopy,39.0,42.0,16045.99,1409.8088095238,1117.70880952381,,
